ID,ConsentID or Water Group,IgnoreReasonID,Comment,CreatedBy,StartDate,EndDate
1,CRC000023.1,Consents with Associated WAPS,Bulk Import 25/01/19,CH\KatieSi,25/01/2019,30/06/2019
2,CRC000027,Under 5l/s,Bulk Import 25/01/20,CH\KatieSi,25/01/2019,30/06/2019
3,CRC000042.1,Consents with Associated WAPS,Bulk Import 25/01/21,CH\KatieSi,25/01/2019,30/06/2019
4,CRC000045,Associated Permits Confirmed,Bulk Import 25/01/22,CH\KatieSi,25/01/2019,30/06/2019
5,CRC000056.4,Consents with Associated WAPS,Bulk Import 25/01/23,CH\KatieSi,25/01/2019,30/06/2019
6,CRC000061.1,Complicated Allocation,Bulk Import 25/01/24,CH\KatieSi,25/01/2019,30/06/2019
7,CRC000065,Regionally Significant,Bulk Import 25/01/25,CH\KatieSi,25/01/2019,30/06/2019
8,CRC000066,Regionally Significant,Bulk Import 25/01/26,CH\KatieSi,25/01/2019,30/06/2019
9,CRC000103,Complicated Allocation,Bulk Import 25/01/27,CH\KatieSi,25/01/2019,30/06/2019
10,CRC000115,Associated Permits Assumed,Bulk Import 25/01/28,CH\KatieSi,25/01/2019,30/06/2019
11,CRC000219,Regionally Significant,Bulk Import 25/01/29,CH\KatieSi,25/01/2019,30/06/2019
12,CRC000232.2,Consents with Associated WAPS,Bulk Import 25/01/30,CH\KatieSi,25/01/2019,30/06/2019
13,CRC000308,Under 5l/s,Bulk Import 25/01/31,CH\KatieSi,25/01/2019,30/06/2019
14,CRC000320.1,Regionally Significant,Bulk Import 25/01/32,CH\KatieSi,25/01/2019,30/06/2019
15,CRC000331,Regionally Significant,Bulk Import 25/01/33,CH\KatieSi,25/01/2019,30/06/2019
16,CRC000366.2,Consents with Associated WAPS,Bulk Import 25/01/34,CH\KatieSi,25/01/2019,30/06/2019
17,CRC000376.3,Complicated Allocation,Bulk Import 25/01/35,CH\KatieSi,25/01/2019,30/06/2019
18,CRC000378.2,Complicated Allocation,Bulk Import 25/01/36,CH\KatieSi,25/01/2019,30/06/2019
19,CRC000398,Consents with Associated WAPS,Bulk Import 25/01/37,CH\KatieSi,25/01/2019,30/06/2019
20,CRC000412,Associated Permits Assumed,Bulk Import 25/01/38,CH\KatieSi,25/01/2019,30/06/2019
21,CRC000413,Associated Permits Assumed,Bulk Import 25/01/39,CH\KatieSi,25/01/2019,30/06/2019
22,CRC000440.1,Complicated Allocation,Bulk Import 25/01/40,CH\KatieSi,25/01/2019,30/06/2019
23,CRC000443.1,Under 5l/s,Bulk Import 25/01/41,CH\KatieSi,25/01/2019,30/06/2019
24,CRC000459.1,Associated Permits Assumed,Bulk Import 25/01/42,CH\KatieSi,25/01/2019,30/06/2019
25,CRC000472.2,Associated Permits Assumed,Bulk Import 25/01/43,CH\KatieSi,25/01/2019,30/06/2019
26,CRC000492.2,Under 5l/s,Bulk Import 25/01/44,CH\KatieSi,25/01/2019,30/06/2019
27,CRC000521,Associated Permits Assumed,Bulk Import 25/01/45,CH\KatieSi,25/01/2019,30/06/2019
28,CRC000522,Consents with Associated WAPS,Bulk Import 25/01/46,CH\KatieSi,25/01/2019,30/06/2019
29,CRC000523,Consents with Associated WAPS,Bulk Import 25/01/47,CH\KatieSi,25/01/2019,30/06/2019
30,CRC000527,Consents with Associated WAPS,Bulk Import 25/01/48,CH\KatieSi,25/01/2019,30/06/2019
31,CRC000528,Consents with Associated WAPS,Bulk Import 25/01/49,CH\KatieSi,25/01/2019,30/06/2019
32,CRC000534.1,Regionally Significant,Bulk Import 25/01/50,CH\KatieSi,25/01/2019,30/06/2019
33,CRC000539,Consents with Associated WAPS,Bulk Import 25/01/51,CH\KatieSi,25/01/2019,30/06/2019
34,CRC000601.1,Associated Permits Confirmed,Bulk Import 25/01/52,CH\KatieSi,25/01/2019,30/06/2019
35,CRC000602.2,Complicated Allocation,Bulk Import 25/01/53,CH\KatieSi,25/01/2019,30/06/2019
36,CRC000607.1,Complicated Allocation,Bulk Import 25/01/54,CH\KatieSi,25/01/2019,30/06/2019
37,CRC000613,Complicated Allocation,Bulk Import 25/01/55,CH\KatieSi,25/01/2019,30/06/2019
38,CRC000685,Complicated Allocation,Bulk Import 25/01/56,CH\KatieSi,25/01/2019,30/06/2019
39,CRC000719.1,Associated Permits Assumed,Bulk Import 25/01/57,CH\KatieSi,25/01/2019,30/06/2019
40,CRC000744.1,Complicated Allocation,Bulk Import 25/01/58,CH\KatieSi,25/01/2019,30/06/2019
41,CRC000777,Regionally Significant,Bulk Import 25/01/59,CH\KatieSi,25/01/2019,30/06/2019
42,CRC000790,Associated Permits Confirmed,Bulk Import 25/01/60,CH\KatieSi,25/01/2019,30/06/2019
43,CRC000825,Consents with Associated WAPS,Bulk Import 25/01/61,CH\KatieSi,25/01/2019,30/06/2019
44,CRC000835.2,Complicated Allocation,Bulk Import 25/01/62,CH\KatieSi,25/01/2019,30/06/2019
45,CRC000854.2,Complicated Allocation,Bulk Import 25/01/63,CH\KatieSi,25/01/2019,30/06/2019
46,CRC000871.1,Complicated Allocation,Bulk Import 25/01/64,CH\KatieSi,25/01/2019,30/06/2019
47,CRC000872,Associated Permits Confirmed,Bulk Import 25/01/65,CH\KatieSi,25/01/2019,30/06/2019
48,CRC000874,Associated Permits Confirmed,Bulk Import 25/01/66,CH\KatieSi,25/01/2019,30/06/2019
49,CRC000882,Regionally Significant,Bulk Import 25/01/67,CH\KatieSi,25/01/2019,30/06/2019
50,CRC000897,Consents with Associated WAPS,Bulk Import 25/01/68,CH\KatieSi,25/01/2019,30/06/2019
51,CRC000940.1,Under 5l/s,Bulk Import 25/01/69,CH\KatieSi,25/01/2019,30/06/2019
52,CRC000945,Consents with Associated WAPS,Bulk Import 25/01/70,CH\KatieSi,25/01/2019,30/06/2019
53,CRC000976.1,Under 5l/s,Bulk Import 25/01/71,CH\KatieSi,25/01/2019,30/06/2019
54,CRC001001,Under 5l/s,Bulk Import 25/01/72,CH\KatieSi,25/01/2019,30/06/2019
55,CRC001019.1,Consents with Associated WAPS,Bulk Import 25/01/73,CH\KatieSi,25/01/2019,30/06/2019
56,CRC001034,Under 5l/s,Bulk Import 25/01/74,CH\KatieSi,25/01/2019,30/06/2019
57,CRC001050,Consents with Associated WAPS,Bulk Import 25/01/75,CH\KatieSi,25/01/2019,30/06/2019
58,CRC001075.2,Associated Permits Assumed,Bulk Import 25/01/76,CH\KatieSi,25/01/2019,30/06/2019
59,CRC001128,Associated Permits Confirmed,Bulk Import 25/01/77,CH\KatieSi,25/01/2019,30/06/2019
60,CRC001130,Under 5l/s,Bulk Import 25/01/78,CH\KatieSi,25/01/2019,30/06/2019
61,CRC001135.2,Consents with Associated WAPS,Bulk Import 25/01/79,CH\KatieSi,25/01/2019,30/06/2019
62,CRC001151,Under 5l/s,Bulk Import 25/01/80,CH\KatieSi,25/01/2019,30/06/2019
63,CRC001155.1,Complicated Allocation,Bulk Import 25/01/81,CH\KatieSi,25/01/2019,30/06/2019
64,CRC001189,Associated Permits Assumed,Bulk Import 25/01/82,CH\KatieSi,25/01/2019,30/06/2019
65,CRC001198.1,Consents with Associated WAPS,Bulk Import 25/01/83,CH\KatieSi,25/01/2019,30/06/2019
66,CRC001199.1,Consents with Associated WAPS,Bulk Import 25/01/84,CH\KatieSi,25/01/2019,30/06/2019
67,CRC001221.2,Complicated Allocation,Bulk Import 25/01/85,CH\KatieSi,25/01/2019,30/06/2019
68,CRC001229.1,Complicated Allocation,Bulk Import 25/01/86,CH\KatieSi,25/01/2019,30/06/2019
69,CRC001252.5,Consents with Associated WAPS,Bulk Import 25/01/87,CH\KatieSi,25/01/2019,30/06/2019
70,CRC001269,Under 5l/s,Bulk Import 25/01/88,CH\KatieSi,25/01/2019,30/06/2019
71,CRC001288,Complicated Allocation,Bulk Import 25/01/89,CH\KatieSi,25/01/2019,30/06/2019
72,CRC001310,Consents with Associated WAPS,Bulk Import 25/01/90,CH\KatieSi,25/01/2019,30/06/2019
73,CRC001343,Associated Permits Confirmed,Bulk Import 25/01/91,CH\KatieSi,25/01/2019,30/06/2019
74,CRC001377.5,Complicated Allocation,Bulk Import 25/01/92,CH\KatieSi,25/01/2019,30/06/2019
