RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,WaterCheck,CRC991620.5,CRC991620.5-2,L35/0906-M1,Take Rate,45.0 l/s,49.0 l/s,8.90%,11/01/2019 0:00,11/01/2019 0:00,17/01/2019 12:00
19-Jan-2019,WaterCheck,CRC991620.5,CRC991620.5-2,L35/0906-M1,1 day Volume,3726.0 m3,4233.6 m3,13.60%,13/01/2019 0:00,13/01/2019 0:00,17/01/2019 0:00
19-Jan-2019,WaterCheck,CRC982094,CRC982094-1,M36/5643-M1,Take Rate,39.0 l/s,39.6 l/s,1.50%,13/01/2019 8:00,13/01/2019 8:00,13/01/2019 8:00
19-Jan-2019,WaterCheck,CRC961392,CRC961392-1,L37/0005-M1 + L37/0586-M1,Take Rate,105.0 l/s,119.4 l/s,13.80%,12/01/2019 8:30,11/01/2019 0:00,17/01/2019 19:00
19-Jan-2019,Boraman,CRC185887,CRC185887-1,J38/0294-M1,Take Rate - Low Flow Ban,0 l/s,48.9 l/s,-,14/01/2019 19:45,11/01/2019 0:00,15/01/2019 6:15
19-Jan-2019,WaterCheck,CRC185029,CRC185029-1,N33/0388-M1,Water Year Volume,995000.0 m3,1056676.0 m3,6.20%,17/01/2019 8:30,11/01/2019 0:00,17/01/2019 11:15
19-Jan-2019,Boraman,CRC181069,CRC181069-1,BZ19/0066-M1 + BZ19/0066-M2 + BZ19/0066-M3,14 day Volume,87085.0 m3,105040.0 m3,20.60%,17/01/2019 0:00,14/01/2019 0:00,17/01/2019 0:00
19-Jan-2019,,CRC181036,CRC181036-1,BY20/0162-M1 + K37/0976-M1,Take Rate,102.0 l/s,141.4 l/s,38.60%,17/01/2019 16:30,11/01/2019 7:45,18/01/2019 0:00
19-Jan-2019,Boraman,CRC180552,CRC180552-1,J40/1103-M1 + J40/1103-M2 + J40/1103-M3 + J40/1103-M4,Take Rate,292.7 l/s,550.6 l/s,88.10%,12/01/2019 14:15,11/01/2019 0:00,14/01/2019 9:30
19-Jan-2019,Boraman,CRC180552,CRC180552-1,J40/1103-M1 + J40/1103-M2 + J40/1103-M3 + J40/1103-M4,1 day Volume,25289.0 m3,45904.0 m3,81.50%,13/01/2019 0:00,12/01/2019 0:00,14/01/2019 0:00
19-Jan-2019,WaterCheck,CRC171950,CRC171950-1,L35/0986-M1 + L35/0987-M1,Take Rate,19.0 l/s,23.1 l/s,21.30%,13/01/2019 11:30,10/01/2019 16:00,18/01/2019 0:00
19-Jan-2019,,CRC162204,CRC162204-1,L36/1752-M1 + L36/2360-M1,Take Rate,115.0 l/s,173.3 l/s,50.70%,18/01/2019 0:15,17/01/2019 14:30,18/01/2019 0:45
19-Jan-2019,,CRC162204,CRC162204-1,L36/1752-M1 + L36/2360-M1,Take Rate - Low Flow Ban,0 l/s,109.7 l/s,-,17/01/2019 17:30,17/01/2019 14:30,17/01/2019 17:30
19-Jan-2019,Watermetrics,CRC156814,CRC156814-1,K37/0021-M1,Take Rate,41.0 l/s,41.1 l/s,0.30%,11/01/2019 1:15,11/01/2019 1:15,11/01/2019 7:30
19-Jan-2019,DataCol,CRC150940,CRC150940-1,K36/0958-M1,Take Rate,200.0 l/s,16666.7 l/s,8233.30%,12/01/2019 11:00,11/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,DataCol,CRC150940,CRC150940-1,K36/0958-M1,Take Rate - Low Flow Ban,0 l/s,55.6 l/s,-,15/01/2019 10:45,15/01/2019 10:45,15/01/2019 10:45
19-Jan-2019,DataCol,CRC150940,CRC150940-1,K36/0958-M1,Water Year Volume,2250000.0 m3,32212950.0 m3,1331.70%,18/01/2019 0:00,11/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Boraman,CRC150104,CRC150104-1,I40/0609-M1 + I40/0610-M1 + I40/0610-M2 + I40/0610-M3 + I40/0610-M4 + I40/0610-M5,Take Rate,570.0 l/s,763.4 l/s,33.90%,14/01/2019 19:15,8/01/2019 16:00,17/01/2019 18:30
19-Jan-2019,Watermetrics,CRC143559,CRC143559-1,K37/3084-M1,7 day Volume,8000.0 m3,8482.1 m3,6.00%,17/01/2019 0:00,17/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,ECS,CRC140633,CRC140633-1,K38/0048-M1 + K38/0049-M1 + K38/0611-M1 + K38/0614-M1,Take Rate,92.0 l/s,98.9 l/s,7.50%,11/01/2019 3:15,11/01/2019 0:00,11/01/2019 3:30
19-Jan-2019,DataCol,CRC136915,CRC136915-1,L36/1564-M1,Take Rate,23.0 l/s,30.8 l/s,34.10%,11/01/2019 21:30,11/01/2019 14:00,18/01/2019 0:00
